;Date;rate
343;2013-05-16;0.027668
344;2013-05-17;0.027668
345;2013-05-20;0.027668
346;2013-05-21;0.027668
347;2013-05-22;0.027668
348;2013-05-23;0.027668
349;2013-05-24;0.027668
350;2013-05-27;0.027668
351;2013-05-28;0.027668
352;2013-05-29;0.027668
353;2013-05-31;0.029514
354;2013-06-03;0.029514
355;2013-06-04;0.029514
356;2013-06-05;0.029514
357;2013-06-06;0.029514
358;2013-06-07;0.029514
359;2013-06-10;0.029514
360;2013-06-11;0.029514
361;2013-06-12;0.029514
362;2013-06-13;0.029514
363;2013-06-14;0.029514
364;2013-06-17;0.029514
365;2013-06-18;0.029514
366;2013-06-19;0.029514
367;2013-06-20;0.029514
368;2013-06-21;0.029514
369;2013-06-24;0.029514
370;2013-06-25;0.029514
371;2013-06-26;0.029514
372;2013-06-27;0.029514
373;2013-06-28;0.029514
374;2013-07-01;0.029514
375;2013-07-02;0.029514
376;2013-07-03;0.029514
377;2013-07-04;0.029514
378;2013-07-05;0.029514
379;2013-07-08;0.029514
380;2013-07-09;0.029514
381;2013-07-10;0.029514
382;2013-07-11;0.031353
383;2013-07-12;0.031353
384;2013-07-15;0.031353
385;2013-07-16;0.031353
386;2013-07-17;0.031353
387;2013-07-18;0.031353
388;2013-07-19;0.031353
389;2013-07-22;0.031353
390;2013-07-23;0.031353
391;2013-07-24;0.031353
392;2013-07-25;0.031353
393;2013-07-26;0.031353
394;2013-07-29;0.031353
395;2013-07-30;0.031353
396;2013-07-31;0.031353
397;2013-08-01;0.031389
398;2013-08-02;0.031389
399;2013-08-05;0.031353
400;2013-08-06;0.031353
401;2013-08-07;0.031353
402;2013-08-08;0.031353
403;2013-08-09;0.031353
404;2013-08-12;0.031353
405;2013-08-13;0.031353
406;2013-08-14;0.031353
407;2013-08-15;0.031353
408;2013-08-16;0.031353
409;2013-08-19;0.031353
410;2013-08-20;0.031353
411;2013-08-21;0.031353
412;2013-08-22;0.031353
413;2013-08-23;0.031353
414;2013-08-26;0.031353
415;2013-08-27;0.031353
416;2013-08-28;0.031353
417;2013-08-29;0.033182
418;2013-08-30;0.033182
419;2013-09-02;0.033182
420;2013-09-03;0.033182
421;2013-09-04;0.033182
422;2013-09-05;0.033182
423;2013-09-06;0.033182
424;2013-09-09;0.033182
425;2013-09-10;0.033182
426;2013-09-11;0.033182
427;2013-09-12;0.033182
428;2013-09-13;0.033182
429;2013-09-16;0.033182
430;2013-09-17;0.033182
431;2013-09-18;0.033182
432;2013-09-19;0.033146
433;2013-09-20;0.033109
434;2013-09-23;0.033109
435;2013-09-24;0.033109
436;2013-09-25;0.033511
437;2013-09-26;0.033182
438;2013-09-27;0.033146
439;2013-09-30;0.033146
440;2013-10-01;0.033146
441;2013-10-02;0.033109
442;2013-10-03;0.033109
443;2013-10-04;0.033584
444;2013-10-07;0.033511
445;2013-10-08;0.033511
446;2013-10-09;0.033657
447;2013-10-10;0.035512
448;2013-10-11;0.035367
449;2013-10-14;0.035476
450;2013-10-15;0.035476
451;2013-10-16;0.035476
452;2013-10-17;0.035476
453;2013-10-18;0.035367
454;2013-10-21;0.035476
455;2013-10-22;0.035476
456;2013-10-23;0.035367
457;2013-10-24;0.035367
458;2013-10-25;0.035367
459;2013-10-28;0.035367
460;2013-10-29;0.035367
461;2013-10-30;0.035367
462;2013-10-31;0.035367
463;2013-11-01;0.035367
464;2013-11-04;0.035222
465;2013-11-05;0.035222
466;2013-11-06;0.035222
467;2013-11-07;0.035222
468;2013-11-08;0.035222
469;2013-11-11;0.035222
470;2013-11-12;0.035222
471;2013-11-13;0.035222
472;2013-11-14;0.035222
473;2013-11-18;0.035222
474;2013-11-19;0.035222
475;2013-11-20;0.035222
476;2013-11-21;0.035222
477;2013-11-22;0.035222
478;2013-11-25;0.035222
479;2013-11-26;0.035222
480;2013-11-27;0.035222
481;2013-11-28;0.036998
482;2013-11-29;0.036998
483;2013-12-02;0.036998
484;2013-12-03;0.036998
485;2013-12-04;0.036998
486;2013-12-05;0.036998
487;2013-12-06;0.036962
488;2013-12-09;0.037287
489;2013-12-10;0.036998
490;2013-12-11;0.036998
491;2013-12-12;0.036998
492;2013-12-13;0.036998
493;2013-12-16;0.037287
494;2013-12-17;0.036998
495;2013-12-18;0.036998
496;2013-12-19;0.036998
497;2013-12-20;0.036998
498;2013-12-23;0.036998
499;2013-12-24;0.036998
500;2013-12-26;0.036998
501;2013-12-27;0.036998
502;2013-12-30;0.036998
503;2013-12-31;0.036998
504;2014-01-02;0.036998
505;2014-01-03;0.036998
506;2014-01-06;0.036998
507;2014-01-07;0.036998
508;2014-01-08;0.036998
509;2014-01-09;0.036998
510;2014-01-10;0.036998
511;2014-01-13;0.036998
512;2014-01-14;0.036998
513;2014-01-15;0.036998
514;2014-01-16;0.038802
515;2014-01-17;0.039054
516;2014-01-20;0.03909
517;2014-01-21;0.03909
518;2014-01-22;0.038802
519;2014-01-23;0.038802
520;2014-01-24;0.038802
521;2014-01-27;0.038802
522;2014-01-28;0.038802
523;2014-01-29;0.038802
524;2014-01-30;0.038802
525;2014-01-31;0.038802
526;2014-02-03;0.038802
527;2014-02-04;0.038874
528;2014-02-05;0.038874
529;2014-02-06;0.038874
530;2014-02-07;0.038874
531;2014-02-10;0.038874
532;2014-02-11;0.038874
533;2014-02-12;0.038874
534;2014-02-13;0.038874
535;2014-02-14;0.038874
536;2014-02-17;0.038874
537;2014-02-18;0.038874
538;2014-02-19;0.038874
539;2014-02-20;0.038874
540;2014-02-21;0.038874
541;2014-02-24;0.038874
542;2014-02-25;0.038874
543;2014-02-26;0.03909
544;2014-02-27;0.039952
545;2014-02-28;0.039952
546;2014-03-05;0.039809
547;2014-03-06;0.039809
548;2014-03-07;0.039809
549;2014-03-10;0.039809
550;2014-03-11;0.039809
551;2014-03-12;0.039809
552;2014-03-13;0.039809
553;2014-03-14;0.039809
554;2014-03-17;0.039809
555;2014-03-18;0.039809
556;2014-03-19;0.039952
557;2014-03-20;0.039952
558;2014-03-21;0.039952
559;2014-03-24;0.039952
560;2014-03-25;0.039952
561;2014-03-26;0.039952
562;2014-03-27;0.039809
563;2014-03-28;0.039809
564;2014-03-31;0.039809
565;2014-04-01;0.039809
566;2014-04-02;0.039809
567;2014-04-03;0.040705
568;2014-04-04;0.040705
569;2014-04-07;0.040705
570;2014-04-08;0.040705
571;2014-04-09;0.040705
572;2014-04-10;0.040705
573;2014-04-11;0.040705
574;2014-04-14;0.040705
575;2014-04-15;0.040705
576;2014-04-16;0.040705
577;2014-04-17;0.040705
578;2014-04-22;0.040705
579;2014-04-23;0.040705
580;2014-04-24;0.040705
581;2014-04-25;0.040705
582;2014-04-28;0.040705
583;2014-04-29;0.040705
584;2014-04-30;0.040705
585;2014-05-02;0.040705
586;2014-05-05;0.040705
587;2014-05-06;0.040705
588;2014-05-07;0.040705
589;2014-05-08;0.040705
590;2014-05-09;0.040705
591;2014-05-12;0.040705
592;2014-05-13;0.040705
593;2014-05-14;0.040705
