rebalance_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2012-04-09,LREN3,LOJAS RENNER,8133,2012-02-08 18:36:54,2011-12-31,122.821,259.898,472.633,0.3137736697416584,7724.21269,7984.11069,0.05919669933834547,26
2012-04-09,EVEN3,EVEN,20524,2012-03-27 20:10:51,2011-12-31,233.293408,977.5479999999998,280.707,0.0893770364316844,1658.71613088,2636.26413088,0.1064790878546371,27
2012-04-09,RENT3,LOCALIZA,19739,2012-03-13 08:21:28,2011-12-31,201.708,1363.4230000000002,595.707,0.1803668841773801,6854.037839999999,8217.46084,0.07249283100934133,28
2012-04-09,ALPA4,ALPARGATAS,10456,2012-03-16 19:04:10,2011-12-31,353.456,-435.021,311.815,0.208009456541954,5475.03344,5040.01244,0.06186790284985883,29
2012-04-09,AMAR3,LOJAS MARISA,22055,2012-03-08 20:42:29,2011-12-31,184.551,342.818,277.217,0.2126851139314667,4287.119729999999,4629.93773,0.05987488734540713,30
2013-04-10,BRML3,BR MALLS PAR,19909,2013-03-06 23:59:07,2012-12-31,453.364,3707.683,3409.403,0.2269340834986522,10926.072400000001,14633.755400000002,0.23298209562802993,1
2013-04-10,ETER3,ETERNIT,5762,2013-03-15 16:57:06,2012-12-31,89.5,-15.64,155.553,0.2458281872187994,828.77,813.13,0.19130151390306593,2
2013-04-10,CSAN3,COSAN,19836,2012-05-31 00:22:35,2012-03-31,407.214,3397.9080000000004,4229.142,0.2194095147525411,18491.58774,21889.49574,0.19320417657094918,3
2013-04-10,PTBL3,PORTOBELLO,13773,2013-03-28 07:22:06,2012-12-31,159.009,107.64499999999998,116.862,0.4026715672198931,855.4684199999999,963.1134199999999,0.12133773403344333,4
2013-04-10,BEEF3,MINERVA,20931,2013-03-20 21:26:37,2012-12-31,146.307556,1377.5100000000002,418.428,0.1452395147226189,1795.19371212,3172.70371212,0.13188373008219115,5
2013-04-10,EMBR3,EMBRAER,20087,2013-03-12 20:48:13,2012-12-31,740.465,-639.6210000000001,1217.431,0.1603048748372021,13283.942100000002,12644.321100000001,0.09628282850235431,6
2013-04-10,SLED4,SARAIVA LIVR,10472,2013-03-21 17:49:52,2012-12-31,28.596,287.9580000000001,143.899,0.1282844499914903,895.3407599999999,1183.2987600000001,0.12160834175132575,7
2013-04-10,FHER3,FER HERINGER,20621,2013-03-08 14:30:00,2012-12-31,48.471407,760.8620000000001,201.409,0.1224490371170068,597.16773424,1358.02973424,0.14830971290383077,8
2013-04-10,HBOR3,HELBOR,20877,2013-03-25 17:54:40,2012-12-31,195.291,643.3520000000001,317.837,0.1448049535603714,2677.43961,3320.79161,0.09571121507380584,9
2013-04-10,NATU3,NATURA,19550,2013-02-06 21:47:46,2012-12-31,431.239,681.4570000000001,1369.55,0.4704559436308315,21303.206599999998,21984.663599999996,0.06229569962580643,10
2013-04-10,KLBN4,KLABIN S/A,12653,2013-02-22 07:25:15,2012-12-31,917.683296,3277.7149999999992,1644.218,0.1410554515258313,13361.468789760002,16639.18378976,0.09881602491895522,11
2013-04-10,AUTM3,AUTOMETAL,22381,2013-02-28 06:18:01,2012-12-31,125.908,-85.9029999999999,213.968,0.1537047804285526,2670.50868,2584.60568,0.08278554893526349,12
2013-04-10,TIMP3,TIM PART S/A,17639,2013-02-06 02:38:39,2012-12-31,2417.632647,-40.49499999999989,2321.445,0.1147748593362453,21009.22770243,20968.73270243,0.11070983797370718,13
