DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
PETROFLEX INDÚSTRIA E COMÉRCIO S.A.|1992-05-08|2008-10-31|CANCELADA|2008-10-31|13994|Petroquímicos e Borracha|PRIVADO
PREDILETO ALIMENTOS SA|1992-08-03|2011-12-19|CANCELADA|2011-12-19|14010|Alimentos|PRIVADO
VALE FERTILIZANTES S.A.|1992-08-11|2011-12-23|CANCELADA|2011-12-23|14028|Petroquímicos e Borracha|PRIVADO
RIMA IMPRESSORA SA|1992-09-21|2005-03-22|CANCELADA|2005-03-22|14036|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
COPESUL - COMPANHIA PETROQUÍMICA DO SUL|1992-11-11|2007-10-17|CANCELADA|2007-10-17|14044|Petroquímicos e Borracha|PRIVADO
HSBX BAURU EMPREENDIMENTOS SA|1993-01-26|2009-09-16|CANCELADA|2009-09-16|14095|Construção Civil, Mat. Constr. e Decoração|PRIVADO
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES|1993-02-05||ATIVO|1993-02-05|14109|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
COMPANHIA  SIDERÚRGICA  DE  TUBARÃO|1993-03-11|2006-03-06|CANCELADA|2006-03-06|14117|Metalurgia e Siderurgia|PRIVADO
COMPANHIA DE EMBALAGENS METÁLICAS - MMSA|1993-05-29|2006-02-20|CANCELADA|2006-02-20|14125|Metalurgia e Siderurgia|PRIVADO
TEC TOY S/A|1993-06-21|2019-08-01|CANCELADA|2019-08-01|14133|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
POLITENO LINEAR IND E COM SA|1993-06-29|1997-06-26|CANCELADA|1997-06-26|14141|Petroquímicos e Borracha|PRIVADO
CARBOMIL SA MINER. E INDUSTRIA|1993-07-27||ATIVO|1993-07-27|14168|Extração Mineral|PRIVADO
COMPUGRAF TECNOL. E SISTEMA SA|1993-11-24|1998-09-25|CANCELADA|1998-09-25|14230|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ULTRAFERTIL SA IND. E COM|1993-12-10|1995-11-09|CANCELADA|1995-11-09|14265|Petroquímicos e Borracha|PRIVADO
EDITORA ABRIL SA|1994-01-04|1994-05-06|CANCELADA|1994-05-06|14281|Gráficas e Editoras|PRIVADO
CEESA-CONST.ESTRADAS ESTR. SA|1994-01-07|1995-01-11|CANCELADA|1995-01-11|14290|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SNB PARTICIPACOES SA|1994-03-09||ATIVO|1994-03-09|14303|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
USINAS SIDERURGICAS DE MINAS GERAIS SA|1994-04-11||ATIVO|1994-04-11|14320|Metalurgia e Siderurgia|PRIVADO
JARI CELULOSE SA|1994-04-27|2006-02-20|CANCELADA|2006-02-20|14354|Papel e Celulose|PRIVADO
ABRIL SA|1994-05-06|1999-12-21|CANCELADA|1999-12-21|14370|Gráficas e Editoras|PRIVADO
WIEST SA|1994-05-24|2014-01-09|CANCELADA|2014-01-09|14397|Metalurgia e Siderurgia|PRIVADO HOLDING
GAZETA MERCANTIL SA|1994-05-25|2010-01-04|CANCELADA|2010-01-04|14400|Gráficas e Editoras|PRIVADO
AUTEL SA TELECOMUNICAÇOES|1994-05-30|2007-08-07|CANCELADA|2007-08-07|14419|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
BOMPREÇO BAHIA SA|1994-06-22|2006-02-17|CANCELADA|2006-02-17|14435|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
CYRELA BRAZIL REALTY SA EMPRS E PARTS|1994-07-07||ATIVO|1994-07-07|14460|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BRAFCO SA|1994-07-07|2005-12-20|CANCELADA|2005-12-20|14478|Comércio (Atacado e Varejo)|PRIVADO
PETROQUIMICA UNIAO SA|1994-07-12|2008-12-16|CANCELADA|2008-12-16|14494|Petroquímicos e Borracha|PRIVADO
AÇOS FINOS PIRATINI S/A|1994-07-21|1995-09-05|CANCELADA|1995-09-05|14508|Metalurgia e Siderurgia|PRIVADO
SANTISTA TEXTIL SA|1994-07-28|2007-11-29|CANCELADA|2007-11-29|14516|Têxtil e Vestuário|PRIVADO
MELPAPER SA|1994-07-28|2010-02-11|CANCELADA|2010-02-11|14532|Papel e Celulose|PRIVADO
IMPERIO LISAMAR SA IND E COM|1994-09-21|2007-08-07|CANCELADA|2007-08-07|14567|Alimentos|PRIVADO
MARSIAJ OLIVEIRA SA|1994-10-04|2006-03-21|CANCELADA|2006-03-21|14575|Comércio (Atacado e Varejo)|PRIVADO
SCHULZ SA|1994-12-19||ATIVO|1994-12-19|14664|Metalurgia e Siderurgia|PRIVADO
WENTEX TEXTIL S.A|1994-12-21|1997-08-30|CANCELADA|1997-08-30|14672|Têxtil e Vestuário|PRIVADO
SOLA SA INDS ALIMENTICIAS|1995-01-10|2011-04-08|CANCELADA|2011-04-08|14710|Alimentos|PRIVADO
CIA HERING|1995-01-26|2022-02-23|CANCELADA|2022-02-23|14761|Têxtil e Vestuário|PRIVADO
SERTEP SA ENG. E MONTAGEM|1995-02-01|1996-08-09|CANCELADA|1996-08-09|14770|Construção Civil, Mat. Constr. e Decoração|PRIVADO
FORPART S.A. - EM LIQUIDAÇÃO|1995-02-21||ATIVO|1995-02-21|14796|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO|1995-04-04||ATIVO|1995-04-04|14826|Comércio (Atacado e Varejo)|PRIVADO
SANTHER FAB.DE PAPEL SANTA THEREZINHA SA|1995-06-29|2021-03-05|CANCELADA|2021-03-05|14923|Papel e Celulose|PRIVADO
DIXIE TOGA SA|1995-06-30|2011-07-21|CANCELADA|2011-07-21|14931|Embalagens|PRIVADO
PARTICIPAÇÕES ABC SA|1995-07-20|2010-01-04|CANCELADA|2010-01-04|14958|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
SERRA AZUL WATER PARK SA|1995-07-26||ATIVO|1995-07-26|14966|Emp. Adm. Part. - Brinquedos e Lazer|PRIVADO
ELETROSILEX SA|1995-08-04|2008-03-18|CANCELADA|2008-03-18|14974|Extração Mineral|PRIVADO
ALCALIS RIO GRANDE DO NORTE SA|1995-07-28|2010-01-04|CANCELADA|2010-01-04|15067|Petroquímicos e Borracha|PRIVADO
KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL|1995-10-09||SUSPENSO(A) - DECISÃO ADM|2021-07-02|15083|Comércio (Atacado e Varejo)|PRIVADO
LITEL PARTICIPACOES SA|1995-10-18||ATIVO|1995-10-18|15091|Emp. Adm. Part. - Extração Mineral|PRIVADO
LANDIS GYR INEPAR|1995-10-31|1999-07-15|CANCELADA|1999-07-15|15105|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
IGUACU CELULOSE PAPEL SA|1995-11-09|2017-03-03|CANCELADA|2017-03-03|15113|Papel e Celulose|PRIVADO
SMA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.|1995-12-11|2008-04-02|CANCELADA|2008-04-02|15148|Emp. Adm. Part. - Serviços médicos|PRIVADO
MAPPIN TRUST RECEBIVEIS SA|1995-12-11|1998-08-18|CANCELADA|1998-08-18|15156|Serviços Diversos|PRIVADO
MAISON ECO SA|1995-12-12|1998-10-30|CANCELADA|1998-10-30|15180|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BOMPRECO SA SUPERMERCADO DO NE|1995-12-13|2002-02-06|CANCELADA|2002-02-06|15202|Comércio (Atacado e Varejo)|PRIVADO
CODUNAS SA|1995-12-12|2006-09-01|CANCELADA|2006-09-01|15237|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SAUIPE SA|1995-12-20|2018-04-04|CANCELADA|2018-04-04|15261|Hospedagem e Turismo|PRIVADO
RUMO MALHA NORTE S.A.|1995-12-27||ATIVO|1995-12-27|15300|Serviços Transporte e Logística|PRIVADO
CENTRO HOSPITALAR  ALBERT SABIN SA|1996-01-08|2010-01-04|CANCELADA|2010-01-04|15318|Serviços Médicos|PRIVADO
FERROVIA CENTRO ATLANTICA SA|1996-02-12||ATIVO|1996-02-12|15369|Serviços Transporte e Logística|PRIVADO
HOPI HARI SA|1996-02-13|2018-05-30|CANCELADA|2018-05-30|15377|Hospedagem e Turismo|PRIVADO
OPP PETROQUIMICA SA|1996-02-22|1998-01-08|CANCELADA|1998-01-08|15393|Petroquímicos e Borracha|PRIVADO
PORTO PONTA DO FELIX S/A|1996-02-27||ATIVO|1996-02-27|15407|Serviços Transporte e Logística|PRIVADO
BWU VIDEO SA|1996-03-11|2001-02-20|CANCELADA|2001-02-20|15440|Serviços Diversos|PRIVADO
HOSPITAL LA SANTE SA|1996-03-29|2004-04-27|CANCELADA|2004-04-27|15466|Serviços Médicos|PRIVADO
ELETROFRIO SA|1996-04-26|1998-02-06|CANCELADA|1998-02-06|15474|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
PANEX SA INDUSTRIA E COMERCIO|1996-04-29|1999-06-08|CANCELADA|1999-06-08|15490|Metalurgia e Siderurgia|PRIVADO
CIA NACIONAL DE ALCALIS|1996-05-15|2010-01-04|CANCELADA|2010-01-04|15555|Petroquímicos e Borracha|PRIVADO
HYDE PARK SA|1996-05-28|2007-01-09|CANCELADA|2007-01-09|15580|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ELEVADORES ATLAS SCHINDLER SA|1996-06-12|2003-10-06|CANCELADA|2003-10-06|15598|Metalurgia e Siderurgia|PRIVADO
CECRISA REVESTIMENTOS CERAMICOS SA|1996-06-21|2012-03-13|CANCELADA|2012-03-13|15610|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BOMPRECO TRUST RECEBIVEIS SA|1996-07-12|1999-04-09|CANCELADA|1999-04-09|15644|Serviços Diversos|PRIVADO
COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO|1996-07-18|2019-12-06|CANCELADA|2019-12-06|15652|Serviços Transporte e Logística|PRIVADO
CONDOMINIUM VILLAGE SA|1996-08-16|2007-01-09|CANCELADA|2007-01-09|15660|Construção Civil, Mat. Constr. e Decoração|PRIVADO
AMERICAS EMPRS ARTISTICOS SA|1996-08-19|2008-03-18|CANCELADA|2008-03-18|15679|Hospedagem e Turismo|PRIVADO
