DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
POSITIVO TECNOLOGIA S.A.|2006-12-06||ATIVO|2006-12-06|20362|Comunicação e Informática|PRIVADO
CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA|2006-12-18||ATIVO|2006-12-18|20397|Serviços Transporte e Logística|PRIVADO
ONE PROPERTIES S.A.|2006-12-29|2012-03-29|CANCELADA|2012-03-29|20419|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
TECNISA S/A|2007-01-09||ATIVO|2007-01-09|20435|Construção Civil, Mat. Constr. e Decoração|PRIVADO
TRANSNORDESTINA LOGISTICA SA|2007-01-11||ATIVO|2007-01-11|20443|Serviços Transporte e Logística|PRIVADO
RNI NEGÓCIOS IMOBILIÁRIOS S.A.|2007-01-18||ATIVO|2007-01-18|20451|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PDG REALTY S.A. EMPREENDIMENTOS E PARTICIPACOES|2007-01-23||ATIVO|2007-01-23|20478|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
CAMARGO CORREA DESENVOLVIMENTO  IMOBILIARIO SA|2007-01-29|2012-10-19|CANCELADA|2012-10-19|20486|Construção Civil, Mat. Constr. e Decoração|PRIVADO
IGUATEMI EMPRESA DE SHOPPING CENTERS S/A|2007-02-02||ATIVO|2007-02-02|20494|Comércio (Atacado e Varejo)|PRIVADO
TAIPE TRANCOSO EMPREENDIMENTOS S/A|2007-02-07|2016-03-11|CANCELADA|2016-03-11|20508|Hospedagem e Turismo|PRIVADO
SÃO MARTINHO SA|2007-02-07||ATIVO|2007-02-07|20516|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
EVEN CONSTRUTORA E INCORPORADORA S/A|2007-03-02||ATIVO|2007-03-02|20524|Construção Civil, Mat. Constr. e Decoração|PRIVADO
JBS SA|2007-03-27||ATIVO|2007-03-27|20575|Alimentos|PRIVADO
ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA|2007-04-03|2009-04-20|CANCELADA|2009-04-20|20591|Farmacêutico e Higiene|PRIVADO HOLDING
JHSF PARTICIPAÇÕES SA|2007-04-04||ATIVO|2007-04-04|20605|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
METALFRIO SOLUTIONS S/A|2007-04-10||ATIVO|2007-04-10|20613|Máquinas, Equipamentos, Veículos e Peças|PRIVADO HOLDING
FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL|2007-04-10||ATIVO|2007-04-10|20621|Petroquímicos e Borracha|PRIVADO
CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A|2007-04-16||ATIVO|2007-04-16|20630|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BEMATECH  S/A|2007-04-17|2016-02-16|CANCELADA|2016-02-16|20656|Comunicação e Informática|PRIVADO
AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A|2007-04-19|2010-05-28|CANCELADA|2010-05-28|20664|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SANTOS BRASIL TECON S.A.|2007-05-16|2009-11-19|CANCELADA|2009-11-19|20699|Serviços Transporte e Logística|PRIVADO
VIVER INCORPORADORA E CONSTRUTORA S.A|2007-05-23||ATIVO|2007-05-23|20702|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
LOG-IN LOGISTICA INTERMODAL SA|2007-06-04||ATIVO|2007-06-04|20710|Serviços Transporte e Logística|PRIVADO
GOLDFARB INCORPORAÇÕES E CONSTRUÇÕES S/A|2007-06-12|2009-12-18|CANCELADA|2009-12-18|20737|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
SLC AGRICOLA SA|2007-06-12||ATIVO|2007-06-12|20745|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
MARISA SA|2007-06-13|2010-07-26|CANCELADA|2010-07-26|20761|Comércio (Atacado e Varejo)|PRIVADO HOLDING
EZ TEC EMPREEND. E PARTICIPAÇÕES S/A|2007-06-15||ATIVO|2007-06-15|20770|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
MARFRIG GLOBAL FOODS SA|2007-06-18||ATIVO|2007-06-18|20788|Alimentos|PRIVADO
TEGMA GESTÃO LOGÍSTICA SA|2007-06-28||ATIVO|2007-06-28|20800|Serviços Transporte e Logística|PRIVADO
MAGNESITA REFRATARIOS S.A.|2007-07-02|2019-01-23|CANCELADA|2019-01-23|20842|Emp. Adm. Part. - Extração Mineral|PRIVADO
HELBOR EMPREENDIMENTOS S/A|2007-07-09||ATIVO|2007-07-09|20877|Construção Civil, Mat. Constr. e Decoração|PRIVADO
BHG S.A. - BRAZIL HOSPITALITY GROUP|2007-07-12|2015-07-13|CANCELADA|2015-07-13|20907|Emp. Adm. Part. - Hospedagem e Turismo|PRIVADO
MRV ENGENHARIA E PARTICIPAÇÕES S/A|2007-07-13||ATIVO|2007-07-13|20915|Construção Civil, Mat. Constr. e Decoração|PRIVADO
COSAN ALIMENTOS S.A.|2007-07-16|2010-06-04|CANCELADA|2010-06-04|20923|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
MINERVA S/A|2007-07-18||ATIVO|2007-07-18|20931|Alimentos|PRIVADO
AÇUCAR GUARANI S/A|2007-07-20|2010-08-13|CANCELADA|2010-08-13|20940|Agricultura (Açúcar, Álcool e Cana)|PRIVADO HOLDING
SPRINGS GLOBAL PARTICIPAÇÕES S/A|2007-07-25||ATIVO|2007-07-25|20966|Emp. Adm. Part. - Têxtil e Vestuário|PRIVADO HOLDING
COMPANHIA PROVIDENCIA IND E COMERCIO|2007-07-25|2015-12-28|CANCELADA|2015-12-28|20974|Petroquímicos e Borracha|PRIVADO
MULTIPLAN EMP. IMOBILIARIOS S/A|2007-07-25||ATIVO|2007-07-25|20982|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
AMERICANAS S.A.|2007-07-26||ATIVO|2007-07-26|20990|Comércio (Atacado e Varejo)|PRIVADO
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.|2007-07-26||ATIVO|2007-07-26|21008|Comércio (Atacado e Varejo)|PRIVADO
YDUQS PARTICIPACOES S.A.|2007-07-26||ATIVO|2007-07-26|21016|Emp. Adm. Part. - Educação|PRIVADO
CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA|2007-07-27||ATIVO|2007-07-27|21024|Serviços Transporte e Logística|PRIVADO
SYN PROP & TECH S.A.|2007-08-01||ATIVO|2007-08-01|21040|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
MOURA DUBEUX ENGENHARIA S/A|2007-08-23||ATIVO|2007-08-23|21067|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PPE FIOS ESMALTADOS SA|2007-09-10|2010-03-12|CANCELADA|2010-03-12|21083|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DEXCO S.A.|2007-09-10||ATIVO|2007-09-10|21091|Construção Civil, Mat. Constr. e Decoração|PRIVADO
TRISUL S/A|2007-10-10||ATIVO|2007-10-10|21130|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONSTRUTORA TENDA S/A|2007-10-11||ATIVO|2007-10-11|21148|Construção Civil, Mat. Constr. e Decoração|PRIVADO
J.MACEDO S/A|2007-10-16||ATIVO|2007-10-16|21156|Alimentos|PRIVADO
AMIL PARTICIPAÇÕES S/A|2007-10-24|2013-05-09|CANCELADA|2013-05-09|21172|Serviços Médicos|PRIVADO HOLDING
NEXPE PARTICIPAÃiES S.A.|2007-10-26||ATIVO|2007-10-26|21180|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
VIX LOGÍSTICA S/A|2007-11-27||ATIVO|2007-11-27|21202|Serviços Transporte e Logística|PRIVADO
CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA|2007-12-11|2014-03-24|CANCELADA|2014-03-24|21245|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
MOENA PARTICIPAÇÕES S/A|2007-12-24|2010-08-31|CANCELADA|2010-08-31|21253|Emp. Adm. Part. - Educação|PRIVADO HOLDING
ALIANSCE SHOPPING CENTERS S/A|2008-01-18|2019-08-05|CANCELADA|2019-08-05|21300|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
IMCOPA-IMPORTAÇÃO, EXPORT E IND DE OLEOS SA|2008-01-18|2008-11-05|CANCELADA|2008-11-05|21318|Alimentos|PRIVADO
T4F ENTRETENIMENTO SA|2008-02-11|2009-01-15|CANCELADA|2009-01-15|21326|Brinquedos e Lazer|PRIVADO
NUTRIPLANT INDUSTRIA E COMÉRCIO S/A|2008-02-11||ATIVO|2008-02-11|21334|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
DIRECIONAL ENGENHARIA SA|2008-02-29||ATIVO|2008-02-29|21350|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MB ENGENHARIA SA|2008-03-12|2008-06-13|CANCELADA|2008-06-13|21385|Construção Civil, Mat. Constr. e Decoração|PRIVADO
LOCAWEB SERVIÇOS DE INTERNET S.A.|2008-03-18|2009-03-18|CANCELADA|2009-03-18|21407|Comunicação e Informática|PRIVADO
FLORESTAL BRASIL S.A.|2008-04-01|2011-11-30|CANCELADA|2011-11-30|21423|Reflorestamento|PRIVADO
HYPERA S/A|2008-04-16||ATIVO|2008-04-16|21431|Farmacêutico e Higiene|PRIVADO
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA|2008-04-18||ATIVO|2008-04-18|21440|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
IRONX MINERAÇÃO S/A|2008-04-24|2008-12-19|CANCELADA|2008-12-19|21458|Metalurgia e Siderurgia|PRIVADO HOLDING
TIVIT TERCEIRIZAÇÃO DE TECNOLOGIA E SERVIÇOS S/A|2008-05-19|2008-12-29|CANCELADA|2008-12-29|21474|Comunicação e Informática|PRIVADO HOLDING
PRUMO LOGÍSTICA S.A.|2008-06-12|2018-05-04|CANCELADA|2018-05-04|21482|Serviços Transporte e Logística|PRIVADO HOLDING
NORCON SOCIEDADE NORDESTINA DE CONSTRUCÕES S/A|2008-06-23|2010-05-13|CANCELADA|2010-05-13|21504|Construção Civil, Mat. Constr. e Decoração|PRIVADO
LIDER AVIAÇÃO HOLDING S/A|2008-07-14|2010-02-05|CANCELADA|2010-02-05|21547|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
UNIDAS S/A|2008-07-29||ATIVO|2008-07-29|21555|Comércio (Atacado e Varejo)|PRIVADO
BRT HOLDING 1 SA|2008-07-31|2014-12-17|CANCELADA|2014-12-17|21580|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
CTX PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO|2008-10-09|2017-03-31|CANCELADA|2017-03-31|21652|Emp. Adm. Part. - Telecomunicações|PRIVADO
FAE ADM. E PARTICIPAÇÕES SA|2008-10-15|2011-12-23|CANCELADA|2011-12-23|21660|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PST ELETRÔNICA SA|2008-10-24|2010-07-20|CANCELADA|2010-07-20|21679|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
INVITEL LEGACY SA|2008-11-11|2020-07-01|CANCELADA|2020-07-01|21687|Emp. Adm. Part. - Telecomunicações|PRIVADO HOLDING
COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES|2009-03-04||ATIVO|2009-03-04|21709|Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)|PRIVADO
TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERVIÇOS E TECNOLOGIA S/A|2009-09-24|2011-01-11|CANCELADA|2011-01-11|21768|Comunicação e Informática|PRIVADO
AGV HOLDING S/A|2009-11-05|2014-03-10|CANCELADA|2014-03-10|21806|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
FERROVIA NORTE SUL S/A|2009-11-24||ATIVO|2009-11-24|21814|Serviços Transporte e Logística|PRIVADO
AUTOVIAS S/A|2009-11-27|2019-09-16|CANCELADA|2019-09-16|21822|Serviços Transporte e Logística|PRIVADO HOLDING
VIANORTE S/A|2009-11-27|2018-06-12|CANCELADA|2018-06-12|21830|Serviços Transporte e Logística|PRIVADO HOLDING
CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A|2009-11-27||ATIVO|2009-11-27|21849|Serviços Transporte e Logística|PRIVADO HOLDING
CENTROVIAS-SISTEMAS RODOVIARIOS S/A|2009-11-27|2019-12-23|CANCELADA|2019-12-23|21857|Serviços Transporte e Logística|PRIVADO HOLDING
BRAZAL - BRASIL ALIMENTOS S.A.|2009-12-11|2016-08-30|CANCELADA|2016-08-30|21865|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
FLEURY SA|2009-12-14||ATIVO|2009-12-14|21881|Serviços Médicos|PRIVADO
ECORODOVIAS CONCESSÕES E SERVIÇOS S/A|2009-12-22||ATIVO|2009-12-22|21903|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO HOLDING
AGRE EMPREENDIMENTOS IMOBILIÁRIOS SA|2009-12-22|2010-07-19|CANCELADA|2010-07-19|21911|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MULTIPLUS SA|2010-02-03|2019-05-06|CANCELADA|2019-05-06|21946|Comércio (Atacado e Varejo)|PRIVADO
AUTOPISTA REGIS BITTENCOURT SA|2010-03-29||ATIVO|2010-03-29|21962|Serviços Transporte e Logística|PRIVADO HOLDING
AUTOPISTA PLANALTO SUL SA|2010-03-29||ATIVO|2010-03-29|21970|Serviços Transporte e Logística|PRIVADO HOLDING
AUTOPISTA FERNÃO DIAS SA|2010-03-29||ATIVO|2010-03-29|21989|Serviços Transporte e Logística|PRIVADO HOLDING
AUTOPISTA LITORAL SUL|2010-03-29||ATIVO|2010-03-29|21997|Serviços Transporte e Logística|PRIVADO HOLDING
AUTOPISTA FLUMINENSE SA|2010-03-29||ATIVO|2010-03-29|22004|Serviços Transporte e Logística|PRIVADO HOLDING
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A|2010-04-14||ATIVO|2010-04-14|22012|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
JSL S.A.|2010-04-15||ATIVO|2010-04-15|22020|Serviços Transporte e Logística|PRIVADO
MARISA LOJAS SA|2010-06-14||ATIVO|2010-06-14|22055|Têxtil e Vestuário|PRIVADO
NEXFUEL BIOENERGIA S/A|2010-06-24|2012-01-30|CANCELADA|2012-01-30|22063|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A|2010-06-30||ATIVO|2010-06-30|22071|Serviços Transporte e Logística|PRIVADO
RG PRIVATE BROKERS INT. DE NEGÓCIOS IMOB. LTDA|2010-07-21|2011-08-18|CANCELADA|2011-08-18|22098|Bebidas e Fumo|PRIVADO
AQUA-RIO S/A|2010-07-26|2012-06-26|CANCELADA|2012-06-26|22101|Brinquedos e Lazer|PRIVADO
CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA|2010-09-20||ATIVO|2010-09-20|22144|Serviços Transporte e Logística|PRIVADO HOLDING
POTHENCIA S/A - REFLORESTADORA|2010-09-21|2012-08-01|CANCELADA|2012-08-01|22152|Reflorestamento|PRIVADO
PETRO RIO S.A.|2010-10-21||ATIVO|2010-10-21|22187|Petróleo e Gás|PRIVADO HOLDING
TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA SA|2010-11-05||ATIVO|2010-11-05|22225|Serviços Transporte e Logística|PRIVADO
KAROON PETROLEO & GAS SA|2010-11-09|2011-06-21|CANCELADA|2011-06-21|22241|Petróleo e Gás|PRIVADO
CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART|2010-11-22||ATIVO|2010-11-22|22268|Serviços Transporte e Logística|PRIVADO
MCM CIMENTOS S.A.|2010-12-16|2012-05-22|CANCELADA|2012-05-22|22284|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
STEIN SP II PARTICIPAÇÕES S.A.|2010-12-16|2012-10-29|CANCELADA|2012-10-29|22292|Emp. Adm. Part. - Petróleo e Gás|PRIVADO HOLDING
RAIA SA|2010-12-16|2012-02-02|CANCELADA|2012-02-02|22306|Emp. Adm. Part. - Farmacêutico e Higiene|PRIVADO
AREZZO INDÚSTRIA E COMERCIO S/A|2011-01-31||ATIVO|2011-01-31|22349|Têxtil e Vestuário|PRIVADO
ALIANSCE SONAE SHOPPING CENTERS S.A.|2011-02-01||ATIVO|2011-02-01|22357|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO HOLDING
ENAUTA PARTICIPAÇÕES S.A.|2011-02-02||ATIVO|2011-02-02|22365|Emp. Adm. Part. - Petróleo e Gás|PRIVADO HOLDING
ELETROSOM S/A - EM RECUPERAÇÃO JUDICIAL|2011-02-03|2016-08-30|CANCELADA|2016-08-30|22373|Comércio (Atacado e Varejo)|PRIVADO
AUTOMETAL S/A|2011-02-03|2014-10-14|CANCELADA|2014-10-14|22381|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS|2011-02-22||ATIVO|2011-02-22|22411|Serviços Transporte e Logística|PRIVADO
INTERNATIONAL MEAL COMPANY HOLDINGS, SA|2011-03-03|2014-12-01|CANCELADA|2014-12-01|22438|Alimentos|PRIVADO HOLDING
K-INFRA RODOVIA DO AÇO S.A.|2011-03-29||ATIVO|2011-03-29|22446|Serviços Transporte e Logística|PRIVADO
T4F ENTRETENIMENTO SA|2011-04-11||ATIVO|2011-04-11|22454|Brinquedos e Lazer|PRIVADO
MAGAZINE LUIZA SA|2011-04-28||ATIVO|2011-04-28|22470|Comércio (Atacado e Varejo)|PRIVADO
MASSA FALIDA DA BRASIL PHARMA SA|2011-06-22||ATIVO|2011-06-22|22500|Farmacêutico e Higiene|PRIVADO HOLDING
TECHNOS SA|2011-06-28||ATIVO|2011-06-28|22519|Comércio (Atacado e Varejo)|PRIVADO
COPERSUCAR SA|2011-07-19|2011-08-12|CANCELADA|2011-08-12|22535|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
VIARONDON CONCESSIONÁRIA DE RODOVIA SA|2011-07-21||ATIVO|2011-07-21|22543|Serviços Transporte e Logística|PRIVADO HOLDING
SOMOS EDUCAÇÃO S.A.|2011-07-22|2019-05-22|CANCELADA|2019-05-22|22551|Gráficas e Editoras|PRIVADO
INBRANDS SA|2011-08-08||ATIVO|2011-08-08|22560|Têxtil e Vestuário|PRIVADO
EMPREENDIMENTOS PAGUE MENOS SA|2011-10-21||ATIVO|2011-10-21|22608|Comércio (Atacado e Varejo)|PRIVADO
HIDROVIAS DO BRASIL S.A.|2011-12-14||ATIVO|2011-12-14|22675|Serviços Transporte e Logística|PRIVADO
COMPANHIA DE LOCAÇÃO DAS AMERICAS|2011-12-30||ATIVO|2011-12-30|22691|Serviços Transporte e Logística|PRIVADO
BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A|2012-01-30|2012-09-03|CANCELADA|2012-09-03|22705|Emp. Adm. Part. - Hospedagem e Turismo|PRIVADO HOLDING
CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL|2012-02-09||ATIVO|2012-02-09|22721|Serviços Transporte e Logística|PRIVADO
SEABRAS SERVIÇOS DE PETROLEO S/A|2012-02-13|2014-05-23|CANCELADA|2014-05-23|22730|Petróleo e Gás|PRIVADO
SAAG INVESTIMENTOS S.A.|2012-03-01|2014-10-21|CANCELADA|2014-10-21|22756|Emp. Adm. Part. - Telecomunicações|PRIVADO
VIGOR ALIMENTOS S.A.|2012-04-02|2016-08-12|CANCELADA|2016-08-12|22772|Emp. Adm. Part. - Alimentos|PRIVADO
UNICASA INDÚSTRIA DE MÓVEIS S.A.|2012-04-25||ATIVO|2012-04-25|22780|Construção Civil, Mat. Constr. e Decoração|PRIVADO
SINQIA S.A.|2012-04-26||ATIVO|2012-04-26|22799|Comunicação e Informática|PRIVADO
ELDORADO BRASIL CELULOSE S.A.|2012-06-06||ATIVO|2012-06-06|22810|Papel e Celulose|PRIVADO HOLDING
CIMENTO TUPI SA|2012-06-13|2017-08-22|CANCELADA|2017-08-22|22829|Construção Civil, Mat. Constr. e Decoração|PRIVADO
DROGARIAS AMERICANAS SA|2012-07-09|2016-01-07|CANCELADA|2016-01-07|22837|Farmacêutico e Higiene|PRIVADO
COMPANHIA AURIFERA BRASILEIRA SA|2012-08-03|2018-08-27|CANCELADA|2018-08-27|22870|Emp. Adm. Part. - Extração Mineral|PRIVADO
INTERCOSMETIC HOLDING S/A|2012-08-06|2016-01-07|CANCELADA|2016-01-07|22888|Emp. Adm. Part. - Farmacêutico e Higiene|PRIVADO
VIABAHIA CONCESSIONÁRIA DE RODOVIAS SA|2012-08-24||ATIVO|2012-08-24|22926|Serviços Transporte e Logística|PRIVADO
ATLETAS BRASILEIROS S/A|2012-09-03|2017-09-20|CANCELADA|2017-09-20|22934|Brinquedos e Lazer|PRIVADO
NORTEC QUIMICA S.A.|2012-11-23||ATIVO|2012-11-23|22985|Farmacêutico e Higiene|PRIVADO
LINX S.A.|2013-02-06|2021-08-02|CANCELADA|2021-08-02|23035|Comunicação e Informática|PRIVADO
INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO|2013-02-19|2016-01-07|CANCELADA|2016-01-07|23043|Emp. Adm. Part. - Educação|PRIVADO
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.|2013-02-25||ATIVO|2013-02-25|23060|Serviços Transporte e Logística|PRIVADO
INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL|2013-02-28|2016-01-07|CANCELADA|2016-01-07|23086|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
COMPANHIA FERRÍFERA BRASILEIRA S.A.|2013-03-26|2016-01-07|CANCELADA|2016-01-07|23124|Emp. Adm. Part. - Extração Mineral|PRIVADO
SMILES S.A.|2013-04-25|2017-07-01|CANCELADA|2017-07-01|23140|Comércio (Atacado e Varejo)|PRIVADO
RODOVIAS DAS COLINAS S.A.|2013-04-25||ATIVO|2013-04-25|23167|Serviços Transporte e Logística|PRIVADO
ALTUS SISTEMA DE AUTOMAÇÃO S.A.|2013-07-02|2017-12-08|CANCELADA|2017-12-08|23183|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DELUXE MOTORS S.A.|2013-09-09|2016-01-07|CANCELADA|2016-01-07|23191|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
BR TOWERS SPE1 S.A.|2013-09-20|2018-12-05|CANCELADA|2018-12-05|23205|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
SER EDUCACIONAL S.A.|2013-10-18||ATIVO|2013-10-18|23221|Educação|PRIVADO
RAÍZEN ENERGIA S.A.|2013-10-21||ATIVO|2013-10-21|23230|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
ANIMA HOLDING S/A|2013-10-24||ATIVO|2013-10-24|23248|Educação|PRIVADO HOLDING
LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.|2013-11-12||ATIVO|2013-11-12|23272|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
OURO VERDE LOCAÇÃO E SERVIÇO S.A.|2013-11-14||ATIVO|2013-11-14|23280|Serviços Transporte e Logística|PRIVADO
JP PARTICIPAÇÕES S.A.|2013-11-22|2014-12-31|CANCELADA|2014-12-31|23299|Emp. Adm. Part. - Telecomunicações|PRIVADO
QUALITY SOFTWARE S.A.|2013-12-03||ATIVO|2013-12-03|23302|Emp. Adm. Part. - Comunicação e Informática|PRIVADO
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA|2013-12-05||ATIVO|2013-12-05|23310|Hospedagem e Turismo|PRIVADO
FTL - FERROVIA TRANSNORDESTINA LOGÍSTICA S.A.|2014-04-25||ATIVO|2014-04-25|23370|Serviços Transporte e Logística|PRIVADO
LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL|2014-07-14|2020-05-08|CANCELADA|2020-05-08|23434|Serviços Transporte e Logística|PRIVADO
RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.|2014-08-07|2016-12-19|CANCELADA|2016-12-19|23450|Serviços Transporte e Logística|PRIVADO
COSAN LOGÍSTICA S.A.|2014-09-11|2021-01-22|CANCELADA|2021-01-22|23485|Serviços Transporte e Logística|PRIVADO HOLDING
DOMMO ENERGIA S.A.|2014-09-17||ATIVO|2014-09-17|23493|Petróleo e Gás|PRIVADO
OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.|2014-10-17||ATIVO|2014-10-17|23507|Emp. Adm. Part. - Comércio (Atacado e Varejo)|PRIVADO
CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.|2014-10-24||ATIVO|2014-10-24|23515|Serviços Transporte e Logística|PRIVADO HOLDING
PORTO SUDESTE V.M. S.A.|2014-11-11||ATIVO|2014-11-11|23523|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
CLARO TELECOM PARTICIPAÇÕES S.A.|2014-12-05||ATIVO|2014-12-05|23531|Emp. Adm. Part. - Telecomunicações|PRIVADO
SALUS INFRAESTRUTURA PORTUÁRIA S.A.|2015-01-05||ATIVO|2015-01-05|23540|Construção Civil, Mat. Constr. e Decoração|PRIVADO
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.|2015-03-19||ATIVO|2015-03-19|23574|Alimentos|PRIVADO
ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.|2015-04-10||ATIVO|2015-04-10|23582|Serviços Transporte e Logística|PRIVADO
YOU INC INCORPORADORA E PARTICIPAÇÕES S.A.|2015-05-26||ATIVO|2015-05-26|23604|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
MAESTRO LOCADORA DE VEÍCULOS S.A.|2015-05-26||ATIVO|2015-05-26|23612|Serviços Transporte e Logística|PRIVADO
CBO HOLDING S.A.|2015-06-11||ATIVO|2015-06-11|23620|Emp. Adm. Part. - Petróleo e Gás|PRIVADO
BR HOME CENTERS S.A.|2015-09-30|2019-11-08|CANCELADA|2019-11-08|23710|Construção Civil, Mat. Constr. e Decoração|PRIVADO
PRÁTICA PARTICIPAÇÕES S.A.|2015-10-09|2017-12-31|CANCELADA|2017-12-31|23728|Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças|PRIVADO HOLDING
FORNO DE MINAS ALIMENTOS S.A.|2015-10-15|2018-03-07|CANCELADA|2018-03-07|23736|Alimentos|PRIVADO
BS&C EMPREENDIMENTOS E PARTICIPAÇÕES S.A.|2015-11-19|2016-06-14|CANCELADA|2016-06-14|23779|Alimentos|PRIVADO HOLDING
BRQ SOLUÇÕES EM INFORMÁTICA S.A.|2016-01-11||ATIVO|2016-01-11|23817|Comunicação e Informática|PRIVADO
MOVIDA PARTICIPAÇÕES S.A.|2016-01-29||ATIVO|2016-01-29|23825|Serviços Transporte e Logística|PRIVADO
CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.|2016-02-03||ATIVO|2016-02-03|23833|Emp. Adm. Part. - Serviços Transporte e Logística|PRIVADO
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.|2016-02-19||ATIVO|2016-02-19|23868|Serviços Transporte e Logística|PRIVADO
