cutoff_date,codneg,nomres,especi,codemi,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2013-04-10,POMO4,MARCOPOLO,PN      N2,POMO,2013-02-21 08:51:43,2012-12-31,448450042.0,811340000.0,391256000.0,0.1842258911452388,2528165759.782254,1716825759.7822542,0.22789499619904538,18.0
2013-04-10,UGPA3,ULTRAPAR,ON      NM,UGPA,2013-02-20 20:22:23,2012-12-31,544383996.0,3226519000.0,1709116000.0,0.1849241337747119,10941928030.5121,7715409030.5121,0.2215198174511507,19.0
2013-04-10,CCRO3,CCR SA,ON      NM,CCRO,2013-03-18 19:34:57,2012-12-31,1765587200.0,7272158000.0,2497436000.0,0.2348430437190688,24876300723.649036,17604142723.649036,0.1418663799314122,20.0
2013-04-10,VLID3,VALID,ON      NM,VLID,2013-03-27 20:20:21,2012-12-31,55750000.0,285126000.0,166230000.0,0.2084192709149609,1420059182.0143085,1134933182.0143085,0.14646677234775243,21.0
2013-04-10,EUCA4,EUCATEX,PN      N1,EUCA,2013-03-20 19:44:00,2012-12-31,92619000.0,193112000.0,172774000.0,0.1369306280180985,715116124.3576456,522004124.35764563,0.3309820592176504,22.0
2013-04-10,HGTX3,CIA HERING,ON      NM,HGTX,2013-02-21 19:03:29,2012-12-31,164224000.0,-168763000.0,373130000.0,0.606481729804937,4440796145.659449,4609559145.659449,0.08094700343553561,23.0
2013-04-10,RDNI3,RODOBENSIMOB,ON      NM,RDNI,2013-03-26 18:25:07,2012-12-31,48575000.0,258467000.0,124733000.0,0.1205075241724183,570148124.0885549,311681124.08855486,0.4001942702329348,24.0
2013-04-10,EVEN3,EVEN,ON      NM,EVEN,2013-03-04 20:04:10,2012-12-31,233293408.0,976923000.0,326279000.0,0.1172814965837723,1760887549.6825414,783964549.6825414,0.416191012887156,25.0
2013-04-10,TGMA3,TEGMA,ON      NM,TGMA,2013-04-11 18:43:27,2012-12-31,66002000.0,284760000.0,154573000.0,0.2208390779143777,1507601362.3108296,1222841362.3108296,0.12640478541541977,26.0
2013-04-10,MULT3,MULTIPLAN,ON      N2,MULT,2013-03-15 00:31:25,2012-12-31,179197214.0,1404633000.0,541021000.0,0.1173588218412559,2843704206.2379727,1439071206.2379727,0.37595151487627904,27.0
2013-04-10,EZTC3,EZTEC,ON      NM,EZTC,2013-03-19 21:23:21,2012-12-31,146724120.0,-33004000.0,309999000.0,0.1886227271648635,1833747680.0903506,1866751680.0903506,0.166063329850597,28.0
2013-04-10,MRVE3,MRV,ON      NM,MRVE,2013-03-14 20:09:59,2012-12-31,482744000.0,2159972000.0,641617000.0,0.102692485289163,3115707209.7897005,955735209.7897005,0.6713334335994392,29.0
2013-04-10,SMTO3,SAO MARTINHO,ON      NM,SMTO,2012-06-25 19:05:52,2012-03-31,113000000.0,821802000.0,228841000.0,0.0803943818330007,840132795.348014,18330795.348013997,12.48396458830103,30.0
2014-04-10,LREN3,LOJAS RENNER,ON      NM,LREN,2014-02-20 18:42:23,2013-12-31,125895000.0,980853000.0,650438000.0,0.2628981943376718,1081143740.05526,100290740.05525994,6.485523983985065,1.0
2014-04-10,RENT3,LOCALIZA,ON  EJ  NM,RENT,2014-03-21 08:28:52,2013-12-31,211793000.0,1332799000.0,652067000.0,0.2438538866951358,1902987483.0193489,570188483.0193489,1.1435990368431779,2.0
2014-04-10,ETER3,ETERNIT,ON      NM,ETER,2014-03-17 10:31:17,2013-12-31,89500000.0,33724000.0,143247000.0,0.2653444548793838,297178522.92805314,263454522.92805314,0.5437257193687252,3.0
2014-04-10,PTBL3,PORTOBELLO,ON      NM,PTBL,2014-03-25 20:46:58,2013-12-31,159009000.0,235457000.0,138713000.0,0.324616090275535,557630113.8469105,322173113.8469105,0.430554239438842,4.0
2014-04-10,NATU3,NATURA,ON      NM,NATU,2014-06-10 17:24:09,2013-12-31,431239000.0,1584598000.0,1415996000.0,0.51437493098057,7862787341.952214,6278189341.952214,0.22554209866497807,5.0
2014-04-10,EZTC3,EZTEC,ON      NM,EZTC,2014-03-19 21:13:25,2013-12-31,146724120.0,93607000.0,568504000.0,0.2579333806094444,1871415674.234719,1777808674.234719,0.31977794249694497,6.0
2014-04-10,RAPT4,RANDON PART,PN      N1,RAPT,2014-04-02 11:18:19,2013-12-31,243785000.0,1192137000.0,446422000.0,0.1574711325969287,1267951381.4042325,75814381.4042325,5.888355107980575,7.0
2014-04-10,SCAR3,SAO CARLOS,ON      NM,SCAR,2014-03-13 21:08:26,2013-12-31,57737000.0,611023000.0,407096000.0,0.2405772966315892,1848711895.8263695,1237688895.8263695,0.32891625785185186,8.0
2014-04-10,WEGE3,WEG,ON      NM,WEGE,2014-02-26 07:27:42,2013-12-31,620905029.0,-164795000.0,1011753000.0,0.2259652321667226,2671427388.109196,2836222388.109196,0.3567255530602091,9.0
2014-04-10,CVCB3,CVC BRASIL,ON      NM,CVCB,2014-02-05 09:13:55,2013-12-31,129729000.0,-44577000.0,265546000.0,0.97733562995024,1638778908.7169027,1683355908.7169027,0.15774798343293073,10.0
2014-04-10,GRND3,GRENDENE,ON      NM,GRND,2014-02-13 18:44:14,2013-12-31,300720000.0,-314289000.0,399233000.0,0.2276555864811586,962399644.7698498,1276688644.7698498,0.3127097602344307,11.0
2014-04-10,VALE3,VALE,ON      N1,VALE,2014-03-17 19:18:56,2013-12-31,5365305000.0,56511766000.0,33436715000.0,0.1602650666934977,109605539524.36086,53093773524.360855,0.6297671606381177,12.0
2014-04-10,BRML3,BR MALLS PAR,ON      NM,BRML,2014-03-17 19:38:49,2013-12-31,457066000.0,4278201000.0,1811726000.0,0.1318054394262773,5170950066.221761,892749066.2217607,2.029378767840641,13.0
2014-04-10,TOTS3,TOTVS,ON      NM,TOTS,2014-01-29 17:40:21,2013-12-31,163467071.0,-135692000.0,319024000.0,0.341514067394176,1729943245.2900863,1865635245.2900863,0.1710001999615928,14.0
2014-04-10,HGTX3,CIA HERING,ON      NM,HGTX,2014-02-20 18:29:17,2013-12-31,164611000.0,-116279000.0,405003000.0,0.5120275000979798,2987050917.361124,3103329917.361124,0.1305059438683171,15.0
2014-04-10,ECOR3,ECORODOVIAS,ON      NM,ECOR,2014-03-18 19:16:30,2013-12-31,558699000.0,2558840000.0,959656000.0,0.2060732221584932,5572355293.879675,3013515293.879675,0.3184506818163564,16.0
2014-04-10,ARTR3,ARTERIS,ON      NM,ARTR,2014-02-26 06:58:10,2013-12-31,344444000.0,3147434000.0,947023000.0,0.1883870462086088,6003482363.865132,2856048363.8651323,0.3315850711709867,17.0
2014-04-10,CCRO3,CCR SA,ON      NM,CCRO,2014-03-12 18:32:08,2013-12-31,1765587200.0,6995933000.0,2725018000.0,0.2599842350417508,21770215438.23611,14774282438.23611,0.18444334006689922,18.0
2014-04-10,UGPA3,ULTRAPAR,ON      NM,UGPA,2014-02-19 19:40:20,2013-12-31,544383996.0,3544425000.0,2139040000.0,0.2119684944800532,12143481894.21955,8599056894.21955,0.2487528604954229,19.0
2014-04-10,RDNI3,RODOBENSIMOB,ON      NM,RDNI,2014-03-20 18:52:07,2013-12-31,48575000.0,309219000.0,158087000.0,0.1246157169027807,489110685.1420048,179891685.1420048,0.8787899222535362,20.0
2014-04-10,CYRE3,CYRELA REALT,ON      NM,CYRE,2014-03-20 19:48:31,2013-12-31,416659000.0,2653590000.0,1002012000.0,0.113251921021181,3788672575.2371783,1135082575.2371783,0.8827657316390635,21.0
2014-04-10,LEVE3,METAL LEVE,ON      NM,LEVE,2014-03-14 17:55:09,2013-12-31,128308500.0,267391000.0,311362000.0,0.1896640575031218,1637987252.9977708,1370596252.9977708,0.2271726624956025,22.0
2014-04-10,EVEN3,EVEN,ON      NM,EVEN,2014-02-24 19:08:17,2013-12-31,233293408.0,1118020000.0,330663000.0,0.0962938306809524,1379419971.5306032,261399971.53060317,1.2649695333317506,23.0
2014-04-10,DIRR3,DIRECIONAL,ON      NM,DIRR,2014-03-17 19:23:22,2013-12-31,155298749.0,347749000.0,258721000.0,0.1327332519315814,1002133709.6917812,654384709.6917812,0.3953652892071073,24.0
2014-04-10,EUCA4,EUCATEX,PN      N1,EUCA,2014-02-21 09:17:50,2013-12-31,92619000.0,208511000.0,145182000.0,0.1077037778890558,458216365.0083302,249705365.00833023,0.5814132187154116,25.0
2014-04-10,MDIA3,M.DIASBRANCO,ON      NM,MDIA,2014-03-10 18:07:05,2013-12-31,113450000.0,266865000.0,578802000.0,0.1874990281701091,2916187367.997511,2649322367.997511,0.21847171450014488,26.0
